order_id,order_date,customer_id,region,segment,product,category,quantity,unit_price,discount,revenue,profit
SO-000038,2024-04-16,CUST-00158,APAC,Mid-Market,SF DevOps Toolkit,Software,17,4808.73,0.05,77660.99,59595.89
SO-000039,2024-05-25,CUST-00498,EMEA,Enterprise,SF Training Bundle,Training,3,2106.98,0.25,4740.7,2178.15
SO-000040,2025-02-26,CUST-00267,North America,SMB,SF Training Bundle,Training,3,2370.09,0.15,6043.73,2394.25
SO-000041,2024-05-16,CUST-00259,APAC,Enterprise,SF Migration Services,Services,4,19193.88,0.1,69097.97,19019.04
SO-000042,2024-05-13,CUST-00494,APAC,Enterprise,SF DevOps Toolkit,Software,10,3898.85,0,38988.5,27887.13
SO-000043,2026-01-23,CUST-00359,North America,Mid-Market,SF Data Connect,Software,11,5323.47,0,58558.17,44601.14
SO-000044,2026-03-09,CUST-00070,APAC,Enterprise,SF Certification Prep,Training,5,794.42,0,3972.1,1469.33
SO-000045,2025-02-20,CUST-00161,APAC,Government,SF Analytics Suite,Software,18,9096.12,0.15,139170.64,83763.06
SO-000046,2024-09-28,CUST-00238,North America,Enterprise,SF Analytics Suite,Software,3,8524.2,0.1,23015.34,16653.34
SO-000047,2025-09-09,CUST-00357,North America,SMB,SF Cloud Platform,Software,7,19813.99,0,138697.93,67219.15
SO-000048,2024-12-30,CUST-00128,North America,Government,SF AI Assistant,Software,17,10376.22,0,176395.74,127274.66
SO-000049,2024-02-01,CUST-00090,North America,Mid-Market,SF AI Assistant,Software,15,12201.43,0.1,164719.31,80018.29
SO-000050,2026-04-03,CUST-00053,EMEA,Enterprise,SF Certification Prep,Training,2,797.79,0,1595.58,695.98
SO-000051,2024-05-13,CUST-00114,North America,SMB,SF DevOps Toolkit,Software,13,4039.02,0.1,47256.53,31403.03
SO-000052,2025-08-23,CUST-00299,APAC,Enterprise,SF Security Pro,Software,3,6681.01,0,20043.03,14998.42
SO-000053,2026-04-08,CUST-00228,APAC,Enterprise,SF Mobile Suite,Software,3,7289.9,0.2,17495.76,9845.8
SO-000054,2025-04-17,CUST-00022,APAC,Government,SF Cloud Platform,Software,6,20290.31,0.05,115654.77,79852.68
SO-000055,2024-01-31,CUST-00255,EMEA,Enterprise,SF AI Assistant,Software,22,11735.99,0.05,245282.19,184010.42
SO-000056,2024-10-13,CUST-00141,LATAM,Government,SF Premium Support,Support,5,3097.42,0.1,13938.39,6308.39
SO-000057,2025-05-25,CUST-00152,APAC,Government,SF AI Assistant,Software,18,11924.51,0,214641.18,124380.26
SO-000058,2024-07-23,CUST-00215,North America,SMB,SF Migration Services,Services,5,20344.38,0.3,71205.33,20759.81
SO-000059,2025-01-26,CUST-00010,APAC,Mid-Market,SF Certification Prep,Training,3,894.51,0.15,2281.0,795.63
SO-000060,2025-05-29,CUST-00290,North America,Mid-Market,SF Data Connect,Software,13,5028.11,0,65365.43,42426.27
SO-000061,2026-04-10,CUST-00016,EMEA,Enterprise,SF Certification Prep,Training,3,780.82,0.3,1639.72,632.75
SO-000062,2025-08-21,CUST-00393,APAC,Enterprise,SF DevOps Toolkit,Software,6,3696.17,0.1,19959.32,10810.39
SO-000063,2026-03-21,CUST-00418,APAC,SMB,SF Training Bundle,Training,1,2590.12,0.25,1942.59,767.59
SO-000064,2025-02-01,CUST-00409,North America,Enterprise,SF Data Connect,Software,6,4875.28,0.1,26326.51,18876.59
SO-000065,2025-01-02,CUST-00358,EMEA,Enterprise,SF Implementation,Services,1,15915.54,0.05,15119.76,4462.56
SO-000066,2025-07-30,CUST-00073,EMEA,Mid-Market,SF DevOps Toolkit,Software,16,4253.08,0,68049.28,31802.03
SO-000067,2024-08-26,CUST-00029,EMEA,SMB,SF Implementation,Services,2,12839.68,0.05,24395.39,6336.95
SO-000068,2024-07-25,CUST-00315,North America,Enterprise,SF Certification Prep,Training,2,857.0,0,1714.0,754.99
SO-000069,2024-11-27,CUST-00445,North America,SMB,SF Cloud Platform,Software,1,16097.64,0.15,13682.99,6855.69
SO-000070,2025-06-22,CUST-00057,EMEA,SMB,SF Data Connect,Software,3,5195.22,0.25,11689.24,6821.47
SO-000071,2024-12-10,CUST-00052,EMEA,SMB,SF Security Pro,Software,11,6949.3,0,76442.3,58350.35
SO-000072,2025-10-16,CUST-00406,LATAM,Enterprise,SF Premium Support,Support,21,3402.67,0.15,60737.66,32770.63
SO-000073,2025-09-20,CUST-00456,North America,Mid-Market,SF Certification Prep,Training,3,825.27,0.1,2228.23,702.05
SO-000074,2026-01-21,CUST-00158,APAC,Mid-Market,SF Training Bundle,Training,3,2131.69,0.15,5435.81,2553.51
SO-000075,2025-08-09,CUST-00486,North America,Mid-Market,SF AI Assistant,Software,25,13674.66,0,341866.5,222478.62
SO-000076,2026-04-08,CUST-00472,EMEA,Government,SF Implementation,Services,2,15628.41,0,31256.82,8890.31
SO-000077,2026-02-02,CUST-00170,North America,Mid-Market,SF Analytics Suite,Software,8,9063.41,0,72507.28,47982.47
SO-000078,2024-03-31,CUST-00494,APAC,Enterprise,SF Training Bundle,Training,3,2361.57,0,7084.71,2337.3
SO-000079,2024-12-24,CUST-00035,North America,Mid-Market,SF Security Pro,Software,4,8315.77,0,33263.08,19872.08
SO-000080,2024-06-19,CUST-00215,North America,SMB,SF AI Assistant,Software,16,13374.37,0.05,203290.42,117296.12
SO-000081,2025-05-05,CUST-00425,EMEA,Government,SF Certification Prep,Training,5,940.76,0.1,4233.42,1323.08
SO-000082,2026-03-29,CUST-00038,APAC,SMB,SF Cloud Platform,Software,10,15408.42,0,154084.2,75352.67
SO-000083,2024-06-23,CUST-00176,North America,Enterprise,SF AI Assistant,Software,6,12835.15,0.05,73160.35,54642.76
SO-000084,2024-12-12,CUST-00048,North America,SMB,SF Implementation,Services,5,16769.52,0.15,71270.46,19577.89
SO-000085,2024-06-17,CUST-00335,APAC,Enterprise,SF Implementation,Services,4,13456.97,0,53827.88,12963.51
SO-000086,2025-02-23,CUST-00098,North America,Enterprise,SF Training Bundle,Training,5,2559.87,0.15,10879.45,3623.43
SO-000087,2024-10-31,CUST-00145,North America,SMB,SF DevOps Toolkit,Software,4,3632.54,0.1,13077.14,9519.54
SO-000088,2024-02-25,CUST-00079,North America,SMB,SF Data Connect,Software,1,5282.72,0,5282.72,3540.25
SO-000089,2025-05-06,CUST-00308,North America,Mid-Market,SF DevOps Toolkit,Software,4,3602.43,0,14409.72,7923.02
SO-000090,2025-04-29,CUST-00042,EMEA,SMB,SF Analytics Suite,Software,10,10311.9,0.05,97963.05,73064.29
SO-000091,2024-04-03,CUST-00136,North America,Enterprise,SF Migration Services,Services,5,21257.68,0.05,100973.98,26981.94
SO-000092,2025-04-01,CUST-00096,APAC,SMB,SF Cloud Platform,Software,9,17674.6,0,159071.4,115652.96
SO-000093,2024-03-04,CUST-00289,North America,Enterprise,SF Mobile Suite,Software,25,6883.12,0,172078.0,115661.52
SO-000094,2025-07-08,CUST-00414,EMEA,Enterprise,SF AI Assistant,Software,25,12323.02,0.1,277267.95,201922.9
SO-000095,2025-06-19,CUST-00420,LATAM,Enterprise,SF AI Assistant,Software,18,12673.44,0.25,171091.44,109692.22
SO-000096,2025-05-02,CUST-00121,LATAM,SMB,SF Security Pro,Software,3,7553.84,0.2,18129.22,8453.42
SO-000097,2025-06-13,CUST-00293,North America,Government,SF Certification Prep,Training,5,947.93,0.1,4265.68,1297.01
SO-000098,2025-04-04,CUST-00388,North America,Mid-Market,SF Mobile Suite,Software,6,7420.72,0.15,37845.67,18771.85
SO-000099,2024-03-21,CUST-00217,EMEA,Enterprise,SF Migration Services,Services,4,20032.67,0.2,64104.54,14883.9
SO-000100,2024-09-21,CUST-00305,North America,Mid-Market,SF Data Connect,Software,24,6070.96,0,145703.04,84672.73
SO-000101,2025-07-19,CUST-00204,EMEA,Enterprise,SF Data Connect,Software,9,5431.89,0.2,39109.61,17952.02
SO-000102,2025-09-30,CUST-00359,North America,Mid-Market,SF Implementation,Services,5,16267.59,0,81337.95,18906.71
SO-000103,2025-08-25,CUST-00291,APAC,SMB,SF Implementation,Services,1,16912.18,0.1,15220.96,3426.98
SO-000104,2025-07-02,CUST-00147,APAC,SMB,SF Data Connect,Software,14,5017.9,0.1,63225.54,40521.73
SO-000105,2024-02-08,CUST-00243,EMEA,Mid-Market,SF Mobile Suite,Software,9,6310.8,0.1,51117.48,34568.92
SO-000106,2024-02-09,CUST-00206,North America,Mid-Market,SF AI Assistant,Software,11,12685.85,0,139544.35,85044.73
SO-000107,2025-01-16,CUST-00138,EMEA,Mid-Market,SF Cloud Platform,Software,11,19713.88,0,216852.68,118425.99
SO-000108,2025-12-13,CUST-00252,North America,SMB,SF Migration Services,Services,1,25118.48,0,25118.48,6407.02
SO-000109,2025-03-29,CUST-00381,APAC,Mid-Market,SF Certification Prep,Training,3,837.74,0.05,2387.56,976.78
SO-000110,2025-03-28,CUST-00097,North America,Mid-Market,SF DevOps Toolkit,Software,14,4503.59,0.15,53592.72,39489.07
SO-000111,2024-02-27,CUST-00421,APAC,Enterprise,SF Standard Support,Support,6,1565.43,0.15,7983.69,3959.36
SO-000112,2025-06-20,CUST-00400,EMEA,Enterprise,SF Implementation,Services,1,13531.82,0.2,10825.46,2599.29
SO-000113,2024-09-12,CUST-00030,EMEA,Mid-Market,SF Cloud Platform,Software,15,15573.02,0.05,221915.54,115331.88
SO-000114,2026-04-23,CUST-00189,North America,Government,SF Premium Support,Support,17,3488.7,0.25,44480.92,25457.45
SO-000115,2025-01-16,CUST-00124,LATAM,Enterprise,SF Premium Support,Support,20,3541.79,0.25,53126.85,27387.43
SO-000116,2024-12-24,CUST-00283,North America,Enterprise,SF Data Connect,Software,6,5947.0,0,35682.0,25870.62
SO-000117,2024-10-18,CUST-00047,EMEA,Enterprise,SF Cloud Platform,Software,13,15568.12,0.2,161908.45,114703.2
SO-000118,2024-08-14,CUST-00110,North America,SMB,SF Migration Services,Services,2,23172.79,0,46345.58,12579.4
SO-000119,2026-03-10,CUST-00011,EMEA,SMB,SF Certification Prep,Training,1,893.01,0,893.01,280.98
SO-000120,2024-01-09,CUST-00411,EMEA,Mid-Market,SF DevOps Toolkit,Software,9,4336.51,0.25,29271.44,20098.96
SO-000121,2025-10-20,CUST-00364,EMEA,Enterprise,SF Security Pro,Software,14,8725.43,0.2,97724.82,59042.83
SO-000122,2025-04-22,CUST-00112,APAC,Enterprise,SF Security Pro,Software,22,7848.29,0.1,155396.14,100224.03
SO-000123,2025-06-07,CUST-00004,EMEA,Enterprise,SF Migration Services,Services,3,22405.62,0.1,60495.17,15269.07
SO-000124,2024-04-20,CUST-00351,EMEA,Enterprise,SF Premium Support,Support,3,3423.19,0,10269.57,4872.01
SO-000125,2024-09-24,CUST-00142,North America,SMB,SF Migration Services,Services,3,19943.18,0.05,56838.06,13984.74
SO-000126,2026-04-04,CUST-00030,EMEA,Mid-Market,SF Certification Prep,Training,5,874.11,0,4370.55,1346.07
SO-000127,2025-11-02,CUST-00014,North America,Mid-Market,SF Premium Support,Support,10,3340.18,0.05,31731.71,15604.88
SO-000128,2025-08-20,CUST-00019,North America,Enterprise,SF Training Bundle,Training,5,2627.53,0,13137.65,5552.94
SO-000129,2025-07-01,CUST-00352,North America,Enterprise,SF Migration Services,Services,4,24683.07,0.1,88859.05,25422.33
SO-000130,2024-06-23,CUST-00433,North America,Government,SF Migration Services,Services,5,19895.5,0,99477.5,22799.41
SO-000131,2026-01-12,CUST-00133,North America,Enterprise,SF Certification Prep,Training,5,970.99,0,4854.95,2019.38
SO-000132,2025-11-01,CUST-00172,North America,Government,SF Analytics Suite,Software,8,9087.56,0.15,61795.41,34284.26
SO-000133,2024-12-05,CUST-00404,North America,Mid-Market,SF Data Connect,Software,9,5538.62,0.05,47355.2,23359.32
SO-000134,2025-10-11,CUST-00028,EMEA,Enterprise,SF Implementation,Services,5,16999.35,0,84996.75,29189.07
SO-000135,2024-05-02,CUST-00257,APAC,Enterprise,SF Migration Services,Services,4,22196.93,0.05,84348.33,28731.35
SO-000136,2024-05-20,CUST-00078,EMEA,Mid-Market,SF DevOps Toolkit,Software,11,4085.58,0.1,40447.24,30321.35
SO-000137,2024-05-26,CUST-00235,North America,Mid-Market,SF Data Connect,Software,23,4882.18,0,112290.14,63231.09
SO-000138,2024-11-16,CUST-00091,North America,Mid-Market,SF Migration Services,Services,1,18731.11,0,18731.11,6072.23
SO-000139,2025-08-13,CUST-00087,APAC,Mid-Market,SF Certification Prep,Training,2,897.19,0.15,1525.22,453.92
SO-000140,2025-03-20,CUST-00315,North America,Enterprise,SF Migration Services,Services,4,21362.4,0.25,64087.2,17143.16
SO-000141,2025-06-30,CUST-00020,North America,SMB,SF DevOps Toolkit,Software,24,4040.11,0,96962.64,54271.86
SO-000142,2025-06-27,CUST-00427,North America,Government,SF DevOps Toolkit,Software,1,4422.7,0.1,3980.43,2132.98
SO-000143,2024-12-18,CUST-00356,APAC,SMB,SF Security Pro,Software,5,6870.34,0.05,32634.11,18095.2
SO-000144,2026-04-23,CUST-00034,APAC,Mid-Market,SF Cloud Platform,Software,10,20421.7,0.05,194006.15,121078.02
SO-000145,2024-12-11,CUST-00269,North America,Enterprise,SF AI Assistant,Software,22,13783.7,0,303241.4,226809.32
SO-000146,2026-02-07,CUST-00184,North America,SMB,SF DevOps Toolkit,Software,6,4764.59,0.2,22870.03,13404.18
SO-000147,2024-08-17,CUST-00117,EMEA,Mid-Market,SF Training Bundle,Training,2,2192.06,0,4384.12,1670.03
SO-000148,2025-01-10,CUST-00064,APAC,Enterprise,SF Training Bundle,Training,1,2310.14,0.1,2079.13,902.86
SO-000149,2024-02-19,CUST-00320,North America,Enterprise,SF Implementation,Services,1,15728.86,0.1,14155.97,3014.67
SO-000150,2024-04-28,CUST-00354,APAC,SMB,SF AI Assistant,Software,15,11568.91,0.05,164856.97,100427.37
SO-000151,2024-07-29,CUST-00079,North America,SMB,SF Training Bundle,Training,1,2256.8,0.1,2031.12,837.83
SO-000152,2025-09-29,CUST-00139,North America,Mid-Market,SF Implementation,Services,2,14634.72,0.2,23415.55,6714.12
SO-000153,2024-04-30,CUST-00317,APAC,Enterprise,SF Security Pro,Software,4,8466.34,0.05,32172.09,21005.98
SO-000154,2024-09-26,CUST-00399,APAC,Government,SF Standard Support,Support,7,1723.28,0.05,11459.81,4917.44
SO-000155,2025-05-23,CUST-00281,EMEA,Mid-Market,SF DevOps Toolkit,Software,23,4745.74,0,109152.02,49761.3
SO-000156,2024-04-01,CUST-00344,EMEA,Mid-Market,SF Analytics Suite,Software,19,9981.71,0,189652.49,91844.31
SO-000157,2024-03-17,CUST-00262,APAC,Government,SF Training Bundle,Training,1,2691.44,0.1,2422.3,899.52
SO-000158,2024-09-27,CUST-00152,APAC,Government,SF Premium Support,Support,2,3167.79,0,6335.58,2507.92
SO-000159,2025-01-03,CUST-00149,North America,SMB,SF Certification Prep,Training,3,880.02,0,2640.06,1188.68
SO-000160,2024-02-16,CUST-00456,North America,Mid-Market,SF Cloud Platform,Software,5,18882.12,0,94410.6,53927.0
SO-000161,2025-09-28,CUST-00225,North America,Mid-Market,SF Security Pro,Software,24,6847.51,0.15,139689.2,71860.67
SO-000162,2025-02-13,CUST-00206,North America,Mid-Market,SF Premium Support,Support,9,3962.57,0.1,32096.82,16578.57
SO-000163,2025-10-26,CUST-00216,EMEA,Government,SF Certification Prep,Training,2,795.53,0.1,1431.95,417.74
SO-000164,2024-06-12,CUST-00483,APAC,Enterprise,SF Analytics Suite,Software,14,10672.0,0.05,141937.6,90826.81
SO-000165,2024-07-04,CUST-00225,North America,Mid-Market,SF Implementation,Services,4,16256.24,0.1,58522.46,19861.73
SO-000166,2026-01-14,CUST-00451,APAC,SMB,SF Mobile Suite,Software,16,7319.78,0,117116.48,68942.65
SO-000167,2024-03-05,CUST-00024,APAC,Mid-Market,SF Security Pro,Software,21,7365.32,0.15,131470.96,88785.88
SO-000168,2026-01-31,CUST-00393,APAC,Enterprise,SF Implementation,Services,5,13757.93,0.25,51592.24,17591.49
SO-000169,2025-06-19,CUST-00266,APAC,Enterprise,SF Training Bundle,Training,5,2108.57,0.1,9488.57,3128.53
SO-000170,2025-11-10,CUST-00178,EMEA,Government,SF Migration Services,Services,4,19681.12,0.2,62979.58,21652.96
SO-000171,2024-02-25,CUST-00314,North America,SMB,SF Cloud Platform,Software,21,20345.61,0.05,405894.92,246588.84
SO-000172,2024-06-18,CUST-00254,North America,Mid-Market,SF Analytics Suite,Software,25,9476.2,0,236905.0,182487.24
SO-000173,2025-06-03,CUST-00026,APAC,Enterprise,SF DevOps Toolkit,Software,18,4380.58,0.05,74907.92,39804.2
SO-000174,2025-03-30,CUST-00236,APAC,Enterprise,SF Certification Prep,Training,5,885.99,0.2,3543.96,1309.19
SO-000175,2025-05-24,CUST-00061,EMEA,Government,SF Training Bundle,Training,1,2113.9,0.05,2008.2,786.06
SO-000176,2026-04-25,CUST-00001,North America,Enterprise,SF Analytics Suite,Software,20,10820.04,0.1,194760.72,144957.69
SO-000177,2024-07-30,CUST-00288,EMEA,SMB,SF Migration Services,Services,4,24972.34,0.05,94894.89,20700.49
SO-000178,2025-04-10,CUST-00115,EMEA,Enterprise,SF Data Connect,Software,18,5833.21,0.1,94498.0,65006.49
SO-000179,2026-01-03,CUST-00187,EMEA,Mid-Market,SF Premium Support,Support,4,3165.23,0.1,11394.83,4393.89
SO-000180,2026-04-29,CUST-00182,North America,Enterprise,SF Migration Services,Services,3,22314.76,0.05,63597.07,14369.65
SO-000181,2024-06-17,CUST-00460,EMEA,Government,SF Premium Support,Support,5,3947.59,0.15,16777.26,8347.24
SO-000182,2025-09-17,CUST-00131,EMEA,Mid-Market,SF DevOps Toolkit,Software,7,3722.14,0.2,20843.98,10944.48
SO-000183,2026-03-11,CUST-00423,North America,SMB,SF DevOps Toolkit,Software,23,3995.8,0.15,78117.89,36724.21
SO-000184,2025-11-19,CUST-00325,North America,Mid-Market,SF Implementation,Services,1,16224.65,0.05,15413.42,4759.18
SO-000185,2025-05-31,CUST-00490,North America,SMB,SF Mobile Suite,Software,16,5533.46,0.15,75255.06,47771.8
SO-000186,2025-08-22,CUST-00222,EMEA,Enterprise,SF Premium Support,Support,17,3903.57,0.2,53088.55,30539.18
SO-000187,2026-01-18,CUST-00089,North America,Enterprise,SF Mobile Suite,Software,4,6280.44,0.1,22609.58,16773.51
SO-000188,2025-01-28,CUST-00259,APAC,Enterprise,SF AI Assistant,Software,20,13497.28,0.15,229453.76,124804.18
SO-000189,2024-12-17,CUST-00494,APAC,Enterprise,SF Security Pro,Software,15,8513.22,0,127698.3,83108.66
SO-000190,2026-02-05,CUST-00454,APAC,Mid-Market,SF Standard Support,Support,10,1985.26,0.05,18859.97,8889.18
SO-000191,2025-07-20,CUST-00378,EMEA,SMB,SF Migration Services,Services,2,20025.87,0.1,36046.57,9140.94
SO-000192,2025-11-19,CUST-00177,APAC,Enterprise,SF Mobile Suite,Software,23,6792.67,0.25,117173.56,72502.94
SO-000193,2025-10-14,CUST-00356,APAC,SMB,SF Data Connect,Software,23,4776.96,0.05,104376.58,63786.64
SO-000194,2025-11-14,CUST-00293,North America,Government,SF Training Bundle,Training,4,2525.46,0.2,8081.47,3125.76
SO-000195,2025-03-08,CUST-00450,EMEA,Enterprise,SF Certification Prep,Training,1,906.14,0,906.14,280.06
SO-000196,2024-02-27,CUST-00344,EMEA,Mid-Market,SF DevOps Toolkit,Software,9,4515.23,0,40637.07,22275.21
SO-000197,2024-05-29,CUST-00129,APAC,Mid-Market,SF Cloud Platform,Software,23,19535.53,0,449317.19,283465.65
SO-000198,2026-04-13,CUST-00184,North America,SMB,SF Premium Support,Support,4,3725.4,0.1,13411.44,7235.72
SO-000199,2026-01-30,CUST-00115,EMEA,Enterprise,SF Migration Services,Services,5,21266.65,0.05,101016.59,33287.5
SO-000200,2024-10-21,CUST-00357,North America,SMB,SF Training Bundle,Training,1,2707.07,0.05,2571.72,1212.16
SO-000201,2025-12-02,CUST-00500,North America,SMB,SF Data Connect,Software,18,4677.16,0.15,71560.55,37283.29
SO-000202,2026-03-10,CUST-00445,North America,SMB,SF Premium Support,Support,8,4044.41,0.15,27501.99,15486.34
SO-000203,2025-08-25,CUST-00387,APAC,Mid-Market,SF Standard Support,Support,24,1855.83,0.15,37858.93,24615.11
SO-000204,2025-04-04,CUST-00151,North America,SMB,SF Mobile Suite,Software,22,5670.21,0.25,93558.46,64920.29
SO-000205,2025-01-21,CUST-00062,EMEA,Enterprise,SF Cloud Platform,Software,14,16807.21,0,235300.94,119368.61
SO-000206,2024-09-18,CUST-00434,North America,SMB,SF Cloud Platform,Software,11,17818.19,0.25,147000.07,68793.19
SO-000207,2024-11-26,CUST-00476,North America,Enterprise,SF Implementation,Services,1,16231.47,0.1,14608.32,4915.28
SO-000208,2025-05-17,CUST-00155,APAC,Mid-Market,SF Certification Prep,Training,5,913.54,0,4567.7,1925.45
SO-000209,2024-08-13,CUST-00270,North America,SMB,SF Mobile Suite,Software,17,5657.94,0.05,91375.73,53927.91
SO-000210,2025-02-17,CUST-00275,EMEA,Mid-Market,SF Analytics Suite,Software,12,8705.41,0,104464.92,58799.35
SO-000211,2024-10-27,CUST-00185,North America,SMB,SF DevOps Toolkit,Software,25,4349.03,0.05,103289.46,65840.19
SO-000212,2025-10-26,CUST-00386,APAC,Enterprise,SF Cloud Platform,Software,4,18912.27,0.05,71866.63,53825.33
SO-000213,2025-09-28,CUST-00315,North America,Enterprise,SF DevOps Toolkit,Software,2,4430.01,0,8860.02,6668.74
SO-000214,2024-04-26,CUST-00484,APAC,Enterprise,SF AI Assistant,Software,9,12144.85,0,109303.65,82107.17
SO-000215,2026-02-27,CUST-00421,APAC,Enterprise,SF Data Connect,Software,17,5890.56,0.05,95132.54,44641.11
SO-000216,2025-10-29,CUST-00460,EMEA,Government,SF DevOps Toolkit,Software,11,4217.51,0.25,34794.46,17724.41
SO-000217,2026-03-02,CUST-00490,North America,SMB,SF Standard Support,Support,18,1533.96,0,27611.28,15720.27
SO-000218,2024-08-06,CUST-00397,APAC,SMB,SF Migration Services,Services,4,24215.39,0,96861.56,32382.01
SO-000219,2026-01-29,CUST-00450,EMEA,Enterprise,SF Certification Prep,Training,4,939.57,0.25,2818.71,1210.29
SO-000220,2024-01-25,CUST-00079,North America,SMB,SF Premium Support,Support,23,3418.25,0,78619.75,31441.9
SO-000221,2024-09-14,CUST-00407,North America,Mid-Market,SF Standard Support,Support,3,1840.48,0,5521.44,2518.48
SO-000222,2025-04-06,CUST-00199,North America,Mid-Market,SF Migration Services,Services,4,21557.97,0,86231.88,26817.67
SO-000223,2024-01-07,CUST-00274,APAC,Mid-Market,SF Migration Services,Services,5,19117.37,0.15,81248.82,17616.98
SO-000224,2024-03-15,CUST-00435,EMEA,Enterprise,SF Data Connect,Software,17,4761.94,0.15,68810.03,38047.75
SO-000225,2024-10-15,CUST-00045,North America,SMB,SF Certification Prep,Training,4,867.98,0.2,2777.54,794.83
SO-000226,2025-06-30,CUST-00081,EMEA,Enterprise,SF DevOps Toolkit,Software,5,4510.91,0.15,19171.37,14015.75
